epoch,train_loss,val_loss,val_pass_rate,wall_s
0,0.8721,1.1659,,143.7
1,0.6259,1.0959,,286.0
2,0.5456,1.0416,0.0000,433.2
3,0.4965,1.0020,,574.0
4,0.4614,0.9942,,716.9
5,0.4317,0.9350,0.0000,1147.1
6,0.4074,0.9654,,1291.8
7,0.3853,0.9055,,1434.2
8,0.3689,0.8748,0.0000,2012.3
9,0.3523,0.8980,,2153.8
10,0.3383,0.8638,,2295.6
11,0.3255,0.9031,0.0000,2745.2
12,0.3139,0.8450,,2890.2
13,0.3029,0.8952,,3032.8
14,0.2933,0.8715,0.0000,3505.5
